10-10 10-5 First Click,10-10 10-5 Last Click,10-10 10-5 Page Submit,10-10 10-5 Click Count,10-5 10-10 First Click,10-5 10-10 Last Click,10-5 10-10 Page Submit,10-5 10-10 Click Count,10-10 10-15 First Click,10-10 10-15 Last Click,10-10 10-15 Page Submit,10-10 10-15 Click Count,10-15 10-10 First Click,10-15 10-10 Last Click,10-15 10-10 Page Submit,10-15 10-10 Click Count,10-10 15-5 First Click,10-10 15-5 Last Click,10-10 15-5 Page Submit,10-10 15-5 Click Count,15-5 10-10 First Click,15-5 10-10 Last Click,15-5 10-10 Page Submit,15-5 10-10 Click Count,10-10 15-20 First Click,10-10 15-20 Last Click,10-10 15-20 Page Submit,10-10 15-20 Click Count,15-20 10-10 First Click,15-20 10-10 Last Click,15-20 10-10 Page Submit,15-20 10-10 Click Count,ResponseID
nan,nan,nan,nan,1.08,4.213,4.697,4.0,nan,nan,nan,nan,0.447,3.173,3.701,4.0,nan,nan,nan,nan,0.995,5.957,10.147,3.0,nan,nan,nan,nan,0.899,3.713,4.315,4.0,R_2hnYqDu06T4Kehz
nan,nan,nan,nan,6.91,8.759,9.749,2.0,nan,nan,nan,nan,12.449,16.189,16.997,3.0,6.785,9.862,10.648,3.0,nan,nan,nan,nan,9.562,11.121,11.623,3.0,nan,nan,nan,nan,R_8Cq6spL5bUrRAjf
nan,nan,nan,nan,6.221,7.772,8.47,3.0,6.316,21.567,23.401,5.0,nan,nan,nan,nan,5.852,7.12,7.768,3.0,nan,nan,nan,nan,nan,nan,nan,nan,11.888,14.6,15.289,3.0,R_6AGyLcQHn7wilXM
11.362,13.726,15.391,3.0,nan,nan,nan,nan,nan,nan,nan,nan,8.321,8.89,10.881,2.0,1.687,3.743,5.697,2.0,nan,nan,nan,nan,1.561,2.558,4.201,2.0,nan,nan,nan,nan,R_18G3dDHFNTFbSE7
nan,nan,nan,nan,5.639,6.099,6.677,2.0,4.649,5.171,5.733,2.0,nan,nan,nan,nan,11.74,12.518,13.679,2.0,nan,nan,nan,nan,2.235,2.719,3.358,2.0,nan,nan,nan,nan,R_4rhEOwxKqsA7HQR
18.599,39.867,40.575,9.0,nan,nan,nan,nan,1.578,19.609,20.154,6.0,nan,nan,nan,nan,nan,nan,nan,nan,1.128,13.821,14.514,5.0,nan,nan,nan,nan,1.172,11.631,13.535,3.0,R_23BlQLpBU0wFero
nan,nan,nan,nan,1.558,3.53,4.478,3.0,1.111,4.438,4.478,4.0,nan,nan,nan,nan,nan,nan,nan,nan,10.691,13.344,14.425,2.0,nan,nan,nan,nan,2.436,3.535,4.693,2.0,R_2tD8ZPOCjdRIwNj
1.582,4.881,5.39,2.0,nan,nan,nan,nan,nan,nan,nan,nan,2.321,11.305,11.987,4.0,nan,nan,nan,nan,1.938,10.556,12.291,2.0,2.185,24.698,25.458,7.0,nan,nan,nan,nan,R_7la8y9APi68s229
nan,nan,nan,nan,2.527,4.021,4.473,3.0,3.069,4.755,5.376,3.0,nan,nan,nan,nan,2.104,3.533,4.169,3.0,nan,nan,nan,nan,nan,nan,nan,nan,2.741,4.409,5.3,3.0,R_6VfEzZOxdkeLEnn
11.251,12.21,13.31,2.0,nan,nan,nan,nan,nan,nan,nan,nan,8.528,20.501,22.403,6.0,4.33,13.103,14.212,4.0,nan,nan,nan,nan,nan,nan,nan,nan,8.267,9.201,10.201,2.0,R_3rxaHzv1rxsEsqB
nan,nan,nan,nan,3.301,10.501,11.58,4.0,nan,nan,nan,nan,2.013,7.357,7.886,3.0,nan,nan,nan,nan,1.659,7.159,7.501,4.0,nan,nan,nan,nan,5.824,6.2,6.977,2.0,R_2nCRPKHGeYJE19v
nan,nan,nan,nan,10.216,16.214,17.078,3.0,4.919,10.4,11.392,3.0,nan,nan,nan,nan,nan,nan,nan,nan,7.967,25.701,26.769,8.0,nan,nan,nan,nan,8.518,17.501,18.248,3.0,R_4kc6DKyq8PCCG31
8.385,11.45,12.238,4.0,nan,nan,nan,nan,5.732,21.902,22.899,4.0,nan,nan,nan,nan,3.547,9.727,10.6,4.0,nan,nan,nan,nan,5.982,8.4,9.409,3.0,nan,nan,nan,nan,R_2QEOMdujFYrnMQM
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R_4TBpMXvHxb8rx81
0.88,4.813,5.4,3.0,nan,nan,nan,nan,1.139,7.195,7.801,5.0,nan,nan,nan,nan,nan,nan,nan,nan,1.5,7.861,8.687,4.0,0.991,5.074,5.792,3.0,nan,nan,nan,nan,R_4EH8BSuBPBQHau5
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R_2cZkM3ioxLntr9B
nan,nan,nan,nan,1.365,7.857,8.614,3.0,nan,nan,nan,nan,2.37,9.137,9.839,4.0,1.536,6.919,8.118,3.0,nan,nan,nan,nan,2.728,5.136,6.342,3.0,nan,nan,nan,nan,R_2OSAA5Q1YthaXPA
